Non-Ordinary step!!. step=4269575, t=2.13479e+06, gorputza=79,k=4
Non-Ordinary step!!. step=4269575, t=2.13479e+06, gorputza=80,k=4
Non-Ordinary step!!. step=4269576, t=2.13479e+06, gorputza=78,k=4
Non-Ordinary step!!. step=4269576, t=2.13479e+06, gorputza=79,k=4
Non-Ordinary step!!. step=4269577, t=2.13479e+06, gorputza=78,k=4
Non-Ordinary step!!. step=4269577, t=2.13479e+06, gorputza=79,k=4
Non-Ordinary step!!. step=4269577, t=2.13479e+06, gorputza=80,k=4
Non-Ordinary step!!. step=4269578, t=2.13479e+06, gorputza=77,k=5
Non-Ordinary step!!. step=4269578, t=2.13479e+06, gorputza=78,k=5
Non-Ordinary step!!. step=4269578, t=2.13479e+06, gorputza=79,k=5
Non-Ordinary step!!. step=4269578, t=2.13479e+06, gorputza=80,k=5
Non-Ordinary step!!. step=4269579, t=2.13479e+06, gorputza=77,k=5
Non-Ordinary step!!. step=4269579, t=2.13479e+06, gorputza=78,k=5
Non-Ordinary step!!. step=4269579, t=2.13479e+06, gorputza=79,k=5
Non-Ordinary step!!. step=4269579, t=2.13479e+06, gorputza=80,k=5
Non-Ordinary step!!. step=4269580, t=2.13479e+06, gorputza=75,k=5
Non-Ordinary step!!. step=4269580, t=2.13479e+06, gorputza=77,k=5
Non-Ordinary step!!. step=4269580, t=2.13479e+06, gorputza=78,k=5
Non-Ordinary step!!. step=4269580, t=2.13479e+06, gorputza=79,k=5
Non-Ordinary step!!. step=4269580, t=2.13479e+06, gorputza=80,k=5
Non-Ordinary step!!. step=4269581, t=2.13479e+06, gorputza=75,k=5
Non-Ordinary step!!. step=4269581, t=2.13479e+06, gorputza=76,k=5
Non-Ordinary step!!. step=4269581, t=2.13479e+06, gorputza=77,k=5
Non-Ordinary step!!. step=4269581, t=2.13479e+06, gorputza=78,k=5
Non-Ordinary step!!. step=4269581, t=2.13479e+06, gorputza=79,k=5
Non-Ordinary step!!. step=4269581, t=2.13479e+06, gorputza=80,k=5
Non-Ordinary step!!. step=4269582, t=2.13479e+06, gorputza=76,k=6
Non-Ordinary step!!. step=4269582, t=2.13479e+06, gorputza=77,k=6
Non-Ordinary step!!. step=4269582, t=2.13479e+06, gorputza=78,k=6
Non-Ordinary step!!. step=4269582, t=2.13479e+06, gorputza=79,k=6
Non-Ordinary step!!. step=4269582, t=2.13479e+06, gorputza=80,k=6
Non-Ordinary step!!. step=4269583, t=2.13479e+06, gorputza=75,k=6
Non-Ordinary step!!. step=4269583, t=2.13479e+06, gorputza=77,k=6
Non-Ordinary step!!. step=4269583, t=2.13479e+06, gorputza=78,k=6
Non-Ordinary step!!. step=4269583, t=2.13479e+06, gorputza=80,k=6
Non-Ordinary step!!. step=4269584, t=2.13479e+06, gorputza=35,k=5
Non-Ordinary step!!. step=4269584, t=2.13479e+06, gorputza=75,k=5
Non-Ordinary step!!. step=4269584, t=2.13479e+06, gorputza=76,k=5
Non-Ordinary step!!. step=4269584, t=2.13479e+06, gorputza=77,k=5
Non-Ordinary step!!. step=4269584, t=2.13479e+06, gorputza=78,k=5
Non-Ordinary step!!. step=4269584, t=2.13479e+06, gorputza=79,k=5
